8.5	0.00461808	0.145352
9	0.127691	0.133951
9.5	0.127496	0.131416
10	0.124409	0.129406
10.5	0.127439	0.128975
11	0.130717	0.129281
11.5	0.127439	0.129129
12	0	0.129129
12.5	0	0.129129
13	0	0.129129
13.5	0	0.129129
14	0	0.129129
14.5	0	0.129129
15	0.00207751	0.0580848
15.5	0.129201	0.062857
16	0.127361	0.0669681
16.5	0.127449	0.0688347
17	0.0309625	0.0655402
17.5	0.127449	0.068843
18	0.127449	0.0718112
18.5	0.127449	0.0748105
19	0.127449	0.0772174
19.5	0.127449	0.0794139
20	0.127449	0.0814263
20.5	0.127449	0.0832769
21	0.124974	0.0849194
21.5	0.127382	0.0864993
22	0.127553	0.0879702
22.5	0.127351	0.0893344
23	0.127467	0.0907635
23.5	0.129311	0.091989
24	0	0.091989
24.5	0	0.091989
25	0	0.091989
25.5	0	0.091989
26	0	0.091989
26.5	0	0.091989
27	0	0.091989
27.5	0	0.091989
28	0	0.091989
28.5	0.00157291	0.0697229
29	0.127542	0.0710943
29.5	0.130641	0.0724421
30	0.127803	0.0738464
30.5	0.127781	0.073998
31	0	0.073998
31.5	0	0.073998
32	0	0.073998
32.5	0	0.073998
33	0	0.073998
33.5	0	0.073998
34	0	0.073998
34.5	0.00361988	0.0623434
35	0.123333	0.0635065
35.5	0.0269565	0.0627262
36	0.104841	0.0634085
36.5	0.153987	0.0652038
37	0.115344	0.0660341
37.5	0.132908	0.0671147
38	0.132157	0.0682825
38.5	0.12929	0.0690199
39	0	0.0690199
39.5	0.00690556	0.0667623
40	0.0809915	0.06685
40.5	0	0.06685
41	0	0.06685
41.5	0	0.06685
42	0	0.06685
42.5	0	0.06685
43	0	0.06685
43.5	0	0.06685
44	0	0.06685
44.5	0	0.06685
45	0	0.06685
45.5	0	0.06685
46	0	0.06685
46.5	0	0.06685
47	0	0.06685
47.5	0	0.06685
48	0	0.06685
48.5	0	0.06685
49	0	0.06685
49.5	0	0.06685
50	0.00610567	0.0518872
50.5	0.127449	0.0528772
51	0.127449	0.0537356
51.5	0.127449	0.0545746
52	0.127449	0.0553946
52.5	0.127449	0.0561964
53	0.127449	0.0569805
53.5	0.127219	0.0577465
54	0.127501	0.0584973
54.5	0.12744	0.0593225
55	0.127003	0.0600375
55.5	0.127893	0.0607419
56	0.127387	0.0614293
56.5	0.127434	0.062103
57	0.124459	0.0627479
57.5	0.128112	0.0633175
58	0.0944025	0.0636808
58.5	0.0648132	0.0636917
59	0.120039	0.0640557
59.5	0	0.0640557
60	0	0.0640557
60.5	0	0.0640557
61	0	0.0640557
61.5	0	0.0640557
62	0	0.0640557
62.5	0	0.0640557
63	0	0.0640557
63.5	0	0.0640557
64	0.0121552	0.0592485
64.5	0.127449	0.0598457
65	0.125898	0.0604261
65.5	0.127412	0.061074
66	0.127516	0.06164
66.5	0.127475	0.0621962
67	0.127382	0.0627427
67.5	0.127397	0.0632802
68	0.129108	0.0638158
68.5	0.127449	0.064336
69	0.127449	0.0649111
69.5	0.127449	0.0654136
70	0.127449	0.0659081
70.5	0.125789	0.0663879
71	0.127465	0.066867
71.5	0.127444	0.0673385
72	0.127315	0.0678023
72.5	0.127563	0.0682599
73	0.125764	0.0687032
73.5	0.130717	0.0691597
74	0.124661	0.0696375
74.5	0.127497	0.0699603
75	0	0.0699603
75.5	0	0.0699603
76	0	0.0699603
76.5	0	0.0699603
77	0	0.0699603
77.5	0	0.0699603
78	0	0.0699603
78.5	0	0.0699603
79	0	0.0699603
79.5	0.00921633	0.0656072
80	0.14593	0.0661488
80.5	0.100772	0.0664098
81	0.156401	0.0668447
81.5	0.0499029	0.0667355
82	0.10798	0.0670607
82.5	0.0555508	0.0669949
83	0	0.0669949
83.5	0	0.0669949
84	0	0.0669949
84.5	0	0.0669949
85	0	0.0669949
85.5	0	0.0669949
86	0.0107685	0.0643613
86.5	0.122636	0.0646949
87	0.148993	0.0650341
87.5	0.0637453	0.0650221
88	0.0947738	0.0652073
88.5	0.0810357	0.0652838
89	0	0.0652838
89.5	0	0.0652838
90	0	0.0652838
90.5	0	0.0652838
91	0	0.0652838
91.5	0	0.0652838
92	0	0.0652838
92.5	0	0.0652838
93	0	0.0652838
93.5	0	0.0652838
94	0	0.0652838
94.5	0	0.0652838
95	0	0.0652838
95.5	0	0.0652838
96	0	0.0652838
96.5	0	0.0652838
97	0	0.0652838
